SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  30
DISK1_MAX :  50
DISK2_MIN :  30
DISK2_MAX :  50
9321  Job 334  finishes at Disk 2
9322  Job 640  arrives
9324  Job 337  finishes at Disk 1
9329  Job 371  finishes at CPU
9329  Job 371  finishes
9341  Job 641  arrives
9348  Job 372  finishes at CPU
9352  Job 642  arrives
9355  Job 92   finishes at Disk 1
9362  Job 175  finishes at Disk 2
9362  Job 197  finishes at CPU
9366  Job 643  arrives
9375  Job 373  finishes at CPU
9382  Job 644  arrives
9389  Job 101  finishes at CPU
9389  Job 101  finishes
9395  Job 338  finishes at Disk 2
9399  Job 340  finishes at Disk 1
9399  Job 374  finishes at CPU
9400  Job 645  arrives
9413  Job 646  arrives
9417  Job 375  finishes at CPU
9430  Job 647  arrives
9430  Job 198  finishes at CPU
9436  Job 46   finishes at Disk 1
9443  Job 176  finishes at Disk 2
9448  Job 648  arrives
9449  Job 53   finishes at CPU
9458  Job 649  arrives
9468  Job 376  finishes at CPU
9472  Job 177  finishes at Disk 1
9477  Job 650  arrives
9484  Job 377  finishes at CPU
9491  Job 93   finishes at Disk 2
9493  Job 651  arrives
9497  Job 199  finishes at CPU
9502  Job 344  finishes at Disk 1
9505  Job 652  arrives
9515  Job 378  finishes at CPU
9515  Job 378  finishes
9516  Job 653  arrives
9528  Job 342  finishes at Disk 2
9531  Job 654  arrives
9534  Job 346  finishes at Disk 1
9534  Job 379  finishes at CPU
9549  Job 655  arrives
9551  Job 104  finishes at CPU
9562  Job 343  finishes at Disk 2
9564  Job 656  arrives
9570  Job 200  finishes at CPU
9582  Job 657  arrives
9582  Job 380  finishes at CPU
9582  Job 380  finishes
9583  Job 181  finishes at Disk 1
9592  Job 658  arrives
9593  Job 381  finishes at CPU
9604  Job 94   finishes at Disk 2
9604  Job 659  arrives
9606  Job 105  finishes at CPU
9606  Job 105  finishes
9618  Job 382  finishes at CPU
9618  Job 382  finishes
9619  Job 660  arrives
9623  Job 347  finishes at Disk 1
9630  Job 202  finishes at CPU
9637  Job 661  arrives
9649  Job 383  finishes at CPU
9651  Job 345  finishes at Disk 2
9655  Job 662  arrives
9662  Job 350  finishes at Disk 1
9663  Job 106  finishes at CPU
9663  Job 106  finishes
9669  Job 663  arrives
9682  Job 384  finishes at CPU
9683  Job 664  arrives
9694  Job 351  finishes at Disk 1
9695  Job 385  finishes at CPU
9695  Job 665  arrives
9699  Job 96   finishes at Disk 2
9708  Job 666  arrives
9710  Job 204  finishes at CPU
9724  Job 667  arrives
9727  Job 386  finishes at CPU
9734  Job 668  arrives
9737  Job 353  finishes at Disk 1
9743  Job 203  finishes at CPU
9746  Job 184  finishes at Disk 2
9747  Job 669  arrives
9761  Job 387  finishes at CPU
9764  Job 670  arrives
9770  Job 185  finishes at Disk 1
9774  Job 388  finishes at CPU
9782  Job 671  arrives
9788  Job 56   finishes at CPU
9793  Job 672  arrives
9794  Job 23   finishes at Disk 2
9804  Job 356  finishes at Disk 1
9805  Job 389  finishes at CPU
9810  Job 673  arrives
9822  Job 674  arrives
9824  Job 108  finishes at CPU
9824  Job 108  finishes
9832  Job 675  arrives
9834  Job 354  finishes at Disk 2
9835  Job 390  finishes at CPU
9843  Job 676  arrives
9848  Job 391  finishes at CPU
9851  Job 11   finishes at Disk 1
9859  Job 392  finishes at CPU
9860  Job 677  arrives
9878  Job 205  finishes at CPU
9879  Job 678  arrives
9880  Job 186  finishes at Disk 2
9884  Job 357  finishes at Disk 1
9896  Job 206  finishes at CPU
9897  Job 679  arrives
9910  Job 680  arrives
9914  Job 393  finishes at CPU
9916  Job 188  finishes at Disk 1
9926  Job 681  arrives
9927  Job 394  finishes at CPU
9927  Job 394  finishes
9928  Job 355  finishes at Disk 2
9940  Job 395  finishes at CPU
9941  Job 682  arrives
9951  Job 189  finishes at Disk 1
9954  Job 683  arrives
9959  Job 396  finishes at CPU
9968  Job 358  finishes at Disk 2
9969  Job 684  arrives
9977  Job 110  finishes at CPU
9987  Job 685  arrives
9992  Job 364  finishes at Disk 1
9995  Job 207  finishes at CPU
10000 Job 686  arrives
10009 Job 397  finishes at CPU
10015 Job 359  finishes at Disk 2
10017 Job 687  arrives
10025 Job 398  finishes at CPU
10031 Job 52   finishes at Disk 1
10036 Job 688  arrives
10038 Job 109  finishes at CPU
10038 Job 109  finishes
10050 Job 362  finishes at Disk 2
10054 Job 208  finishes at CPU
10055 Job 689  arrives
10062 Job 365  finishes at Disk 1
10073 Job 399  finishes at CPU
10073 Job 690  arrives
10085 Job 691  arrives
10086 Job 400  finishes at CPU
10091 Job 49   finishes at Disk 2
10100 Job 692  arrives
10104 Job 111  finishes at CPU
10111 Job 367  finishes at Disk 1
10113 Job 693  arrives
10116 Job 401  finishes at CPU
10123 Job 694  arrives
10129 Job 209  finishes at CPU
10138 Job 99   finishes at Disk 2
10138 Job 695  arrives
10143 Job 369  finishes at Disk 1
10144 Job 402  finishes at CPU
10148 Job 696  arrives
10156 Job 403  finishes at CPU
10161 Job 697  arrives
10168 Job 210  finishes at CPU
10168 Job 210  finishes
10174 Job 698  arrives
10182 Job 193  finishes at Disk 2
10185 Job 58   finishes at CPU
10185 Job 699  arrives
10188 Job 370  finishes at Disk 1
10199 Job 404  finishes at CPU
10200 Job 700  arrives
10215 Job 405  finishes at CPU
10217 Job 701  arrives
10218 Job 197  finishes at Disk 1
10229 Job 57   finishes at CPU
10229 Job 57   finishes
10231 Job 194  finishes at Disk 2
10232 Job 702  arrives
10244 Job 406  finishes at CPU
10251 Job 703  arrives
10255 Job 211  finishes at CPU
10259 Job 373  finishes at Disk 1
10262 Job 368  finishes at Disk 2
10262 Job 704  arrives
10266 Job 407  finishes at CPU
10273 Job 705  arrives
10283 Job 706  arrives
10284 Job 408  finishes at CPU
10296 Job 198  finishes at Disk 1
10297 Job 707  arrives
10299 Job 51   finishes at Disk 2
10299 Job 212  finishes at CPU
10315 Job 708  arrives
10318 Job 112  finishes at CPU
10326 Job 709  arrives
10331 Job 53   finishes at Disk 1
10335 Job 409  finishes at CPU
10344 Job 710  arrives
10347 Job 372  finishes at Disk 2
10354 Job 410  finishes at CPU
10354 Job 711  arrives
10354 Job 410  finishes
10371 Job 411  finishes at CPU
10373 Job 712  arrives
10380 Job 377  finishes at Disk 1
10383 Job 713  arrives
10386 Job 60   finishes at CPU
10386 Job 60   finishes
10393 Job 714  arrives
10395 Job 374  finishes at Disk 2
10405 Job 412  finishes at CPU
10412 Job 715  arrives
10416 Job 379  finishes at Disk 1
10423 Job 214  finishes at CPU
10423 Job 716  arrives
10439 Job 413  finishes at CPU
10439 Job 717  arrives
10439 Job 413  finishes
10442 Job 375  finishes at Disk 2
10456 Job 104  finishes at Disk 1
10456 Job 414  finishes at CPU
10456 Job 718  arrives
10470 Job 719  arrives
10473 Job 215  finishes at CPU
10485 Job 116  finishes at CPU
10486 Job 720  arrives
10488 Job 376  finishes at Disk 2
10501 Job 415  finishes at CPU
10502 Job 381  finishes at Disk 1
10502 Job 721  arrives
10512 Job 416  finishes at CPU
10512 Job 416  finishes
10521 Job 722  arrives
10523 Job 199  finishes at Disk 2
10529 Job 417  finishes at CPU
10533 Job 383  finishes at Disk 1
10533 Job 723  arrives
10544 Job 418  finishes at CPU
10544 Job 724  arrives
10554 Job 200  finishes at Disk 2
10561 Job 725  arrives
10563 Job 220  finishes at CPU
10563 Job 220  finishes
10573 Job 385  finishes at Disk 1
10578 Job 217  finishes at CPU
10580 Job 726  arrives
10587 Job 202  finishes at Disk 2
10591 Job 727  arrives
10596 Job 419  finishes at CPU
10605 Job 386  finishes at Disk 1
10608 Job 420  finishes at CPU
10608 Job 420  finishes
10609 Job 728  arrives
10620 Job 384  finishes at Disk 2
10620 Job 729  arrives
10623 Job 221  finishes at CPU
10623 Job 221  finishes
10634 Job 421  finishes at CPU
10636 Job 730  arrives
10646 Job 422  finishes at CPU
10649 Job 203  finishes at Disk 1
10652 Job 204  finishes at Disk 2
10652 Job 731  arrives
10659 Job 31   finishes at CPU
10667 Job 732  arrives
10674 Job 423  finishes at CPU
10678 Job 733  arrives
10679 Job 388  finishes at Disk 1
10685 Job 222  finishes at CPU
10693 Job 734  arrives
10700 Job 387  finishes at Disk 2
10704 Job 424  finishes at CPU
10706 Job 735  arrives
10721 Job 118  finishes at CPU
10722 Job 390  finishes at Disk 1
10725 Job 736  arrives
10734 Job 425  finishes at CPU
10739 Job 737  arrives
10747 Job 426  finishes at CPU
10747 Job 426  finishes
10748 Job 56   finishes at Disk 2
10749 Job 738  arrives
10760 Job 427  finishes at CPU
10760 Job 427  finishes
10764 Job 392  finishes at Disk 1
10767 Job 739  arrives
10774 Job 119  finishes at CPU
10779 Job 389  finishes at Disk 2
10786 Job 740  arrives
10790 Job 63   finishes at CPU
10797 Job 741  arrives
10801 Job 428  finishes at CPU
10807 Job 742  arrives
10809 Job 391  finishes at Disk 2
10811 Job 429  finishes at CPU
10813 Job 205  finishes at Disk 1
10820 Job 743  arrives
10825 Job 430  finishes at CPU
10830 Job 744  arrives
10840 Job 120  finishes at CPU
10844 Job 393  finishes at Disk 1
10845 Job 206  finishes at Disk 2
10846 Job 745  arrives
10857 Job 223  finishes at CPU
10858 Job 746  arrives
10868 Job 431  finishes at CPU
10871 Job 747  arrives
10876 Job 396  finishes at Disk 1
10878 Job 395  finishes at Disk 2
10878 Job 432  finishes at CPU
10878 Job 432  finishes
10890 Job 748  arrives
10893 Job 225  finishes at CPU
10907 Job 749  arrives
10910 Job 433  finishes at CPU
10920 Job 207  finishes at Disk 1
10924 Job 226  finishes at CPU
10925 Job 110  finishes at Disk 2
10925 Job 750  arrives
10937 Job 751  arrives
10942 Job 434  finishes at CPU
10951 Job 752  arrives
10954 Job 435  finishes at CPU
10960 Job 398  finishes at Disk 2
10962 Job 397  finishes at Disk 1
10970 Job 753  arrives
10971 Job 436  finishes at CPU
10985 Job 754  arrives
10986 Job 227  finishes at CPU
10986 Job 227  finishes
10995 Job 755  arrives
10996 Job 208  finishes at Disk 2
11000 Job 399  finishes at Disk 1
11000 Job 32   finishes at CPU
11010 Job 756  arrives
11012 Job 437  finishes at CPU
11021 Job 757  arrives
11029 Job 438  finishes at CPU
11035 Job 400  finishes at Disk 2
11039 Job 758  arrives
11042 Job 439  finishes at CPU
11047 Job 401  finishes at Disk 1
11052 Job 759  arrives
11061 Job 64   finishes at CPU
11068 Job 760  arrives
11076 Job 111  finishes at Disk 2
11077 Job 209  finishes at Disk 1
11077 Job 228  finishes at CPU
11085 Job 761  arrives
11095 Job 440  finishes at CPU
11096 Job 762  arrives
11107 Job 402  finishes at Disk 2
11108 Job 763  arrives
11114 Job 441  finishes at CPU
11120 Job 764  arrives
11124 Job 403  finishes at Disk 1
11124 Job 230  finishes at CPU
11124 Job 230  finishes
11132 Job 765  arrives
11140 Job 442  finishes at CPU
11145 Job 766  arrives
11152 Job 58   finishes at Disk 2
11153 Job 229  finishes at CPU
11164 Job 767  arrives
11168 Job 404  finishes at Disk 1
11171 Job 443  finishes at CPU
11171 Job 443  finishes
11174 Job 768  arrives
11182 Job 444  finishes at CPU
11192 Job 769  arrives
11192 Job 122  finishes at CPU
11199 Job 405  finishes at Disk 2
11202 Job 770  arrives
11208 Job 406  finishes at Disk 1
11211 Job 445  finishes at CPU
11214 Job 771  arrives
11227 Job 772  arrives
11228 Job 231  finishes at CPU
11238 Job 446  finishes at CPU
11238 Job 446  finishes
11245 Job 773  arrives
11246 Job 211  finishes at Disk 2
11249 Job 407  finishes at Disk 1
11251 Job 447  finishes at CPU
11257 Job 774  arrives
11263 Job 233  finishes at CPU
11273 Job 775  arrives
11279 Job 448  finishes at CPU
11279 Job 448  finishes
11283 Job 776  arrives
11294 Job 408  finishes at Disk 2
11294 Job 66   finishes at CPU
11296 Job 777  arrives
11298 Job 212  finishes at Disk 1
11312 Job 449  finishes at CPU
11314 Job 778  arrives
11325 Job 779  arrives
11326 Job 450  finishes at CPU
11329 Job 112  finishes at Disk 1
11334 Job 409  finishes at Disk 2
11339 Job 780  arrives
11345 Job 235  finishes at CPU
11350 Job 781  arrives
11360 Job 234  finishes at CPU
11361 Job 411  finishes at Disk 1
11361 Job 782  arrives
11372 Job 451  finishes at CPU
11373 Job 783  arrives
11381 Job 412  finishes at Disk 2
11382 Job 452  finishes at CPU
11382 Job 452  finishes
11390 Job 784  arrives
11398 Job 453  finishes at CPU
11403 Job 785  arrives
11409 Job 214  finishes at Disk 1
11417 Job 236  finishes at CPU
11418 Job 414  finishes at Disk 2
11419 Job 786  arrives
11432 Job 787  arrives
11433 Job 454  finishes at CPU
11449 Job 788  arrives
11452 Job 125  finishes at CPU
11455 Job 116  finishes at Disk 2
11456 Job 215  finishes at Disk 1
11464 Job 789  arrives
11471 Job 455  finishes at CPU
11476 Job 790  arrives
11483 Job 456  finishes at CPU
11486 Job 791  arrives
11490 Job 415  finishes at Disk 1
11494 Job 237  finishes at CPU
11501 Job 792  arrives
11502 Job 417  finishes at Disk 2
11512 Job 457  finishes at CPU
11512 Job 457  finishes
11515 Job 793  arrives
11529 Job 418  finishes at Disk 1
11529 Job 124  finishes at CPU
11533 Job 419  finishes at Disk 2
11533 Job 794  arrives
11543 Job 458  finishes at CPU
11550 Job 795  arrives
11557 Job 459  finishes at CPU
11557 Job 459  finishes
11567 Job 217  finishes at Disk 1
11567 Job 796  arrives
11569 Job 421  finishes at Disk 2
11575 Job 238  finishes at CPU
11586 Job 797  arrives
11587 Job 460  finishes at CPU
11587 Job 460  finishes
11600 Job 798  arrives
11601 Job 461  finishes at CPU
11606 Job 31   finishes at Disk 2
11608 Job 422  finishes at Disk 1
11613 Job 239  finishes at CPU
11618 Job 799  arrives
11630 Job 462  finishes at CPU
11635 Job 800  arrives
11637 Job 424  finishes at Disk 2
11643 Job 128  finishes at CPU
11647 Job 801  arrives
11652 Job 423  finishes at Disk 1
11658 Job 463  finishes at CPU
11659 Job 802  arrives
11671 Job 241  finishes at CPU
11673 Job 803  arrives
11676 Job 118  finishes at Disk 2
11682 Job 464  finishes at CPU
11686 Job 222  finishes at Disk 1
11690 Job 804  arrives
11697 Job 465  finishes at CPU
11705 Job 805  arrives
11710 Job 68   finishes at CPU
11714 Job 119  finishes at Disk 2
11716 Job 425  finishes at Disk 1
11716 Job 806  arrives
11727 Job 466  finishes at CPU
11728 Job 807  arrives
11738 Job 242  finishes at CPU
11742 Job 808  arrives
11751 Job 467  finishes at CPU
11752 Job 63   finishes at Disk 1
11761 Job 809  arrives
11763 Job 428  finishes at Disk 2
11767 Job 468  finishes at CPU
11772 Job 810  arrives
11784 Job 430  finishes at Disk 1
11786 Job 246  finishes at CPU
11789 Job 811  arrives
11797 Job 429  finishes at Disk 2
11797 Job 469  finishes at CPU
11808 Job 812  arrives
11814 Job 470  finishes at CPU
11826 Job 120  finishes at Disk 1
11826 Job 813  arrives
11828 Job 245  finishes at CPU
11829 Job 223  finishes at Disk 2
11838 Job 814  arrives
11839 Job 471  finishes at CPU
11848 Job 815  arrives
11850 Job 130  finishes at CPU
11861 Job 225  finishes at Disk 1
11861 Job 816  arrives
11869 Job 431  finishes at Disk 2
11869 Job 247  finishes at CPU
11871 Job 817  arrives
11882 Job 472  finishes at CPU
11890 Job 818  arrives
11895 Job 473  finishes at CPU
11907 Job 434  finishes at Disk 2
11909 Job 433  finishes at Disk 1
11909 Job 819  arrives
11914 Job 474  finishes at CPU
11924 Job 248  finishes at CPU
11927 Job 820  arrives
11935 Job 2    finishes at CPU
11942 Job 435  finishes at Disk 2
11942 Job 821  arrives
11947 Job 475  finishes at CPU
11953 Job 226  finishes at Disk 1
11955 Job 822  arrives
11961 Job 476  finishes at CPU
11968 Job 823  arrives
11976 Job 477  finishes at CPU
11979 Job 32   finishes at Disk 2
11980 Job 824  arrives
11986 Job 251  finishes at CPU
11986 Job 251  finishes
11990 Job 825  arrives
11994 Job 436  finishes at Disk 1
11997 Job 478  finishes at CPU
12000 Job 826  arrives
12007 Job 131  finishes at CPU
12013 Job 827  arrives
12025 Job 479  finishes at CPU
12026 Job 828  arrives
12027 Job 438  finishes at Disk 2
12037 Job 437  finishes at Disk 1
12042 Job 829  arrives
12044 Job 480  finishes at CPU
12054 Job 132  finishes at CPU
12059 Job 830  arrives
12064 Job 439  finishes at Disk 2
12070 Job 254  finishes at CPU
12077 Job 64   finishes at Disk 1
12077 Job 831  arrives
12081 Job 481  finishes at CPU
12090 Job 832  arrives
12100 Job 482  finishes at CPU
12107 Job 228  finishes at Disk 2
12108 Job 833  arrives
12111 Job 440  finishes at Disk 1
12112 Job 70   finishes at CPU
12119 Job 834  arrives
12128 Job 483  finishes at CPU
12129 Job 835  arrives
12139 Job 133  finishes at CPU
12143 Job 836  arrives
12144 Job 442  finishes at Disk 1
12151 Job 441  finishes at Disk 2
12158 Job 484  finishes at CPU
12159 Job 837  arrives
12168 Job 256  finishes at CPU
12169 Job 838  arrives
12183 Job 839  arrives
12185 Job 485  finishes at CPU
12189 Job 229  finishes at Disk 2
12191 Job 444  finishes at Disk 1
12195 Job 486  finishes at CPU
12198 Job 840  arrives
12207 Job 34   finishes at CPU
12208 Job 841  arrives
12218 Job 842  arrives
12223 Job 487  finishes at CPU
12232 Job 843  arrives
12233 Job 445  finishes at Disk 2
12236 Job 134  finishes at CPU
12239 Job 122  finishes at Disk 1
12244 Job 844  arrives
12247 Job 488  finishes at CPU
12247 Job 488  finishes
12256 Job 845  arrives
12263 Job 489  finishes at CPU
12269 Job 846  arrives
12275 Job 447  finishes at Disk 1
12277 Job 257  finishes at CPU
12279 Job 847  arrives
12280 Job 231  finishes at Disk 2
12287 Job 490  finishes at CPU
12290 Job 848  arrives
12304 Job 491  finishes at CPU
12305 Job 233  finishes at Disk 1
12308 Job 849  arrives
12314 Job 66   finishes at Disk 2
12322 Job 850  arrives
12323 Job 258  finishes at CPU
12334 Job 259  finishes at CPU
12341 Job 851  arrives
12346 Job 449  finishes at Disk 1
12346 Job 492  finishes at CPU
12346 Job 492  finishes
12356 Job 450  finishes at Disk 2
12357 Job 493  finishes at CPU
12357 Job 493  finishes
12359 Job 852  arrives
12370 Job 853  arrives
12372 Job 494  finishes at CPU
12382 Job 495  finishes at CPU
12383 Job 854  arrives
12385 Job 234  finishes at Disk 1
12394 Job 855  arrives
12397 Job 135  finishes at CPU
12398 Job 235  finishes at Disk 2
12410 Job 856  arrives
12414 Job 260  finishes at CPU
12421 Job 857  arrives
12427 Job 496  finishes at CPU
12428 Job 451  finishes at Disk 1
12432 Job 858  arrives
12433 Job 453  finishes at Disk 2
12443 Job 497  finishes at CPU
12449 Job 859  arrives
12461 Job 860  arrives
12462 Job 261  finishes at CPU
12468 Job 236  finishes at Disk 1
12473 Job 454  finishes at Disk 2
12475 Job 861  arrives
12476 Job 71   finishes at CPU
12476 Job 71   finishes
12486 Job 862  arrives
12491 Job 498  finishes at CPU
12501 Job 863  arrives
12501 Job 499  finishes at CPU
12506 Job 455  finishes at Disk 1
12512 Job 72   finishes at CPU
12512 Job 72   finishes
12515 Job 125  finishes at Disk 2
12519 Job 864  arrives
12529 Job 500  finishes at CPU
12529 Job 500  finishes
12538 Job 865  arrives
12540 Job 237  finishes at Disk 1
12546 Job 263  finishes at CPU
12548 Job 866  arrives
12556 Job 456  finishes at Disk 2
12565 Job 501  finishes at CPU
12566 Job 867  arrives
12578 Job 139  finishes at CPU
12578 Job 868  arrives
12578 Job 139  finishes
12588 Job 124  finishes at Disk 1
12591 Job 502  finishes at CPU
12597 Job 869  arrives
12601 Job 458  finishes at Disk 2
12609 Job 264  finishes at CPU
12609 Job 870  arrives
12622 Job 503  finishes at CPU
12627 Job 871  arrives
12634 Job 238  finishes at Disk 2
12634 Job 504  finishes at CPU
12637 Job 461  finishes at Disk 1
12638 Job 872  arrives
12652 Job 873  arrives
12653 Job 265  finishes at CPU
12671 Job 874  arrives
12671 Job 505  finishes at CPU
12683 Job 462  finishes at Disk 2
12683 Job 875  arrives
12684 Job 239  finishes at Disk 1
12685 Job 138  finishes at CPU
12685 Job 138  finishes
12693 Job 876  arrives
12695 Job 506  finishes at CPU
12707 Job 507  finishes at CPU
12711 Job 877  arrives
12719 Job 463  finishes at Disk 1
12720 Job 266  finishes at CPU
12722 Job 878  arrives
12732 Job 128  finishes at Disk 2
12735 Job 879  arrives
12738 Job 36   finishes at CPU
12746 Job 880  arrives
12753 Job 241  finishes at Disk 1
12753 Job 508  finishes at CPU
12760 Job 881  arrives
12763 Job 509  finishes at CPU
12768 Job 464  finishes at Disk 2
12771 Job 882  arrives
12781 Job 269  finishes at CPU
12790 Job 883  arrives
12793 Job 68   finishes at Disk 1
12797 Job 267  finishes at CPU
12799 Job 465  finishes at Disk 2
12804 Job 884  arrives
12816 Job 510  finishes at CPU
12820 Job 885  arrives
12828 Job 242  finishes at Disk 1
12828 Job 511  finishes at CPU
12832 Job 886  arrives
12841 Job 74   finishes at CPU
12841 Job 74   finishes
12842 Job 466  finishes at Disk 2
12846 Job 887  arrives
12856 Job 512  finishes at CPU
12857 Job 888  arrives
12863 Job 468  finishes at Disk 1
12868 Job 889  arrives
12870 Job 270  finishes at CPU
12885 Job 513  finishes at CPU
12885 Job 513  finishes
12887 Job 890  arrives
12891 Job 467  finishes at Disk 2
12895 Job 246  finishes at Disk 1
12903 Job 272  finishes at CPU
12904 Job 891  arrives
12917 Job 514  finishes at CPU
12917 Job 514  finishes
12918 Job 892  arrives
12924 Job 469  finishes at Disk 2
12933 Job 893  arrives
12935 Job 470  finishes at Disk 1
12935 Job 142  finishes at CPU
12950 Job 894  arrives
12954 Job 515  finishes at CPU
12956 Job 471  finishes at Disk 2
12961 Job 895  arrives
12965 Job 245  finishes at Disk 1
12969 Job 516  finishes at CPU
12973 Job 896  arrives
12984 Job 141  finishes at CPU
12985 Job 897  arrives
13000 Job 517  finishes at CPU
13001 Job 130  finishes at Disk 2
13002 Job 247  finishes at Disk 1
13002 Job 898  arrives
13012 Job 899  arrives
13016 Job 271  finishes at CPU
13025 Job 900  arrives
13026 Job 518  finishes at CPU
13036 Job 75   finishes at CPU
13036 Job 75   finishes
13042 Job 472  finishes at Disk 2
13042 Job 474  finishes at Disk 1
13044 Job 901  arrives
13046 Job 519  finishes at CPU
13056 Job 902  arrives
13064 Job 274  finishes at CPU
13072 Job 473  finishes at Disk 2
13073 Job 248  finishes at Disk 1
13073 Job 903  arrives
13081 Job 520  finishes at CPU
13088 Job 904  arrives
13094 Job 143  finishes at CPU
13102 Job 2    finishes at Disk 2
13105 Job 521  finishes at CPU
13107 Job 905  arrives
13115 Job 476  finishes at Disk 1
13120 Job 906  arrives
13122 Job 522  finishes at CPU
13137 Job 907  arrives
13139 Job 275  finishes at CPU
13147 Job 475  finishes at Disk 2
13147 Job 908  arrives
13151 Job 523  finishes at CPU
13159 Job 478  finishes at Disk 1
13163 Job 909  arrives
13168 Job 276  finishes at CPU
13177 Job 477  finishes at Disk 2
13178 Job 910  arrives
13182 Job 524  finishes at CPU
13189 Job 479  finishes at Disk 1
13189 Job 911  arrives
13193 Job 525  finishes at CPU
13203 Job 912  arrives
13205 Job 144  finishes at CPU
13207 Job 131  finishes at Disk 2
13213 Job 913  arrives
13220 Job 147  finishes at CPU
13223 Job 480  finishes at Disk 1
13226 Job 914  arrives
13235 Job 526  finishes at CPU
13245 Job 915  arrives
13250 Job 527  finishes at CPU
13252 Job 132  finishes at Disk 2
13256 Job 481  finishes at Disk 1
13260 Job 279  finishes at CPU
13262 Job 916  arrives
13278 Job 528  finishes at CPU
13278 Job 528  finishes
13279 Job 917  arrives
13284 Job 254  finishes at Disk 2
13287 Job 70   finishes at Disk 1
13290 Job 280  finishes at CPU
13290 Job 280  finishes
13297 Job 918  arrives
13305 Job 529  finishes at CPU
13310 Job 919  arrives
13317 Job 482  finishes at Disk 2
13321 Job 530  finishes at CPU
13326 Job 920  arrives
13329 Job 133  finishes at Disk 1
13338 Job 146  finishes at CPU
13343 Job 921  arrives
13347 Job 483  finishes at Disk 2
13357 Job 531  finishes at CPU
13357 Job 531  finishes
13359 Job 922  arrives
13360 Job 256  finishes at Disk 1
13370 Job 76   finishes at CPU
13377 Job 484  finishes at Disk 2
13378 Job 923  arrives
13381 Job 532  finishes at CPU
13393 Job 281  finishes at CPU
13397 Job 924  arrives
13403 Job 485  finishes at Disk 1
13411 Job 486  finishes at Disk 2
13412 Job 533  finishes at CPU
13416 Job 925  arrives
13426 Job 534  finishes at CPU
13429 Job 926  arrives
13441 Job 34   finishes at Disk 2
13444 Job 37   finishes at CPU
13446 Job 927  arrives
13449 Job 487  finishes at Disk 1
13454 Job 535  finishes at CPU
13462 Job 928  arrives
13471 Job 282  finishes at CPU
13477 Job 929  arrives
13479 Job 489  finishes at Disk 1
13487 Job 134  finishes at Disk 2
13487 Job 536  finishes at CPU
13491 Job 930  arrives
13497 Job 537  finishes at CPU
13509 Job 931  arrives
13510 Job 257  finishes at Disk 1
13515 Job 148  finishes at CPU
13523 Job 490  finishes at Disk 2
13528 Job 932  arrives
13532 Job 283  finishes at CPU
13542 Job 538  finishes at CPU
13544 Job 933  arrives
13545 Job 258  finishes at Disk 1
13554 Job 934  arrives
13555 Job 539  finishes at CPU
13555 Job 539  finishes
13567 Job 285  finishes at CPU
13568 Job 935  arrives
13570 Job 491  finishes at Disk 2
13581 Job 936  arrives
13582 Job 284  finishes at CPU
13584 Job 259  finishes at Disk 1
13594 Job 540  finishes at CPU
13600 Job 937  arrives
13606 Job 541  finishes at CPU
13613 Job 938  arrives
13616 Job 494  finishes at Disk 2
13621 Job 542  finishes at CPU
13627 Job 495  finishes at Disk 1
13631 Job 939  arrives
13637 Job 287  finishes at CPU
13645 Job 940  arrives
13650 Job 150  finishes at CPU
13650 Job 150  finishes
13653 Job 260  finishes at Disk 2
13659 Job 135  finishes at Disk 1
13660 Job 941  arrives
13667 Job 543  finishes at CPU
13676 Job 942  arrives
13683 Job 544  finishes at CPU
13694 Job 943  arrives
13695 Job 261  finishes at Disk 1
13696 Job 288  finishes at CPU
13696 Job 288  finishes
13697 Job 496  finishes at Disk 2
13704 Job 944  arrives
13712 Job 545  finishes at CPU
13723 Job 945  arrives
13723 Job 151  finishes at CPU
13735 Job 497  finishes at Disk 2
13739 Job 546  finishes at CPU
13739 Job 546  finishes
13742 Job 946  arrives
13743 Job 498  finishes at Disk 1
13753 Job 547  finishes at CPU
13755 Job 947  arrives
13769 Job 548  finishes at CPU
13773 Job 948  arrives
13780 Job 499  finishes at Disk 2
13782 Job 263  finishes at Disk 1
13783 Job 949  arrives
13788 Job 289  finishes at CPU
13797 Job 950  arrives
13799 Job 549  finishes at CPU
13807 Job 951  arrives
13814 Job 502  finishes at Disk 1
13816 Job 152  finishes at CPU
13819 Job 501  finishes at Disk 2
13826 Job 952  arrives
13833 Job 550  finishes at CPU
13840 Job 953  arrives
13844 Job 551  finishes at CPU
13846 Job 265  finishes at Disk 1
13850 Job 954  arrives
13853 Job 264  finishes at Disk 2
13859 Job 291  finishes at CPU
13859 Job 291  finishes
13868 Job 955  arrives
13873 Job 552  finishes at CPU
13881 Job 956  arrives
13889 Job 79   finishes at CPU
13890 Job 505  finishes at Disk 1
13891 Job 503  finishes at Disk 2
13898 Job 957  arrives
13899 Job 553  finishes at CPU
13912 Job 292  finishes at CPU
13913 Job 958  arrives
13924 Job 554  finishes at CPU
13924 Job 959  arrives
13930 Job 504  finishes at Disk 2
13936 Job 960  arrives
13937 Job 506  finishes at Disk 1
13940 Job 555  finishes at CPU
13949 Job 961  arrives
13955 Job 293  finishes at CPU
